Acquisition Date,Company,Business,Country,Price,Used as or integrated with:,Group,ParentCompany
17-Oct-15,Digisfera,360-degree photography, Portugal,0,Street View,Search,Alphabet
11-Nov-15,Fly Labs,Video editing, United States,0,Google Photos,Organization,Alphabet
11-Nov-15,bebop,Cloud software, United States,380000000,Google Cloud Platform,Productivity,Alphabet
12-Feb-16,BandPage,Platform for musicians, United States,0,YouTube,Media,Alphabet
18-Feb-16,Pie,Enterprise communications, Singapore,0,Spaces,Connectivity,Alphabet
02-May-16,Synergyse,Interactive tutorials, Canada,0,Google Docs,Productivity,Alphabet
22-Jun-16,Webpass,Internet service provider, United States,0,Google Fiber,Innovation,Alphabet
06-Jul-16,Moodstocks,Image recognition, France,0,Google Photos,Organization,Alphabet
08-Jul-16,Anvato,Cloud-based video services, United States,0,Google Cloud Platform,Productivity,Alphabet
12-Jul-16,Kifi,Link management, United States,0,Spaces,Connectivity,Alphabet
27-Jul-16,LaunchKit,Mobile tool maker, United States,0,Firebase,OS,Alphabet
08-Aug-16,Orbitera,Cloud software, United States,100000000,Google Cloud Platform,Productivity,Alphabet
08-Sep-16,Apigee,API management and predictive analytics, United States,625000000,Google Cloud Platform,Productivity,Alphabet
15-Sep-16,Urban Engines,Location-based analytics, United States,0,Google Maps,Search,Alphabet
19-Sep-16,API.AI,Natural language processing, United States,0,Google Assistant,Search,Alphabet
11-Oct-16,FameBit,Branded content,—,0,YouTube,Media,Alphabet
24-Oct-16,Eyefluence,"Eye tracking, virtual reality",—,0,Google VR,Research,Alphabet
05-Nov-16,LeapDroid,Android Emulator, United States,0,Android,OS,Alphabet
21-Nov-16,Qwiklabs,Cloud-based hands-on training platform,—,0,Google Cloud Platform,Productivity,Alphabet
13-Dec-16,Cronologics,Smartwatches, United States,0,Android Wear,Devices,Alphabet
05-Jan-17,Limes Audio,Voice communication, Sweden,0,"Google Duo, Google Hangouts",Connectivity,Alphabet
19-Jan-17,Fabric,Mobile app platform, United States,0,Firebase,OS,Alphabet
08-Mar-17,Kaggle,Data science, United States,0,Google Cloud Platform,Productivity,Alphabet
09-Mar-17,AppBridge,Productivity suite, United States,0,Google Docs,Productivity,Alphabet
10-May-17,Owlchemy Labs,Virtual reality studio, United States,0,Google VR,Research,Alphabet
12-Jul-17,Halli Labs,Artificial intelligence, India,0,,Misc.,Alphabet
16-Aug-17,AIMatter,Computer vision, Belarus,0,YouTube,Media,Alphabet
21-Sep-17,HTC (portions),Talent and intellectual property licenses, Taiwan,1100000000,Google Pixel,Devices,Alphabet
26-Sep-17,Bitium,Single sign-on and identity management, United States,0,Google Cloud Platform,Productivity,Alphabet
09-Oct-17,Relay Media,AMP converter, United States,0,Accelerated Mobile Pages,Search,Alphabet
